1.0243e-1, 9.8769e-1
1.0606e-1, 9.5768e-1
1.1093e-1, 9.2603e-1
1.1416e-1, 9.0198e-1
1.1667e-1, 8.8126e-1
1.2098e-1, 8.5910e-1
1.2421e-1, 8.3636e-1
1.2756e-1, 8.1692e-1
1.3080e-1, 7.9661e-1
1.3567e-1, 7.7196e-1
1.4069e-1, 7.4451e-1
1.4572e-1, 7.1687e-1
1.5139e-1, 6.9127e-1
1.5642e-1, 6.6602e-1
1.6129e-1, 6.3919e-1
1.6647e-1, 6.1472e-1
1.7198e-1, 5.9074e-1
1.7701e-1, 5.6841e-1
1.8203e-1, 5.4577e-1
1.8706e-1, 5.2405e-1
1.9281e-1, 5.0040e-1
1.9795e-1, 4.7939e-1
2.0310e-1, 4.5834e-1
2.0957e-1, 4.3595e-1
2.1483e-1, 4.1434e-1
2.2142e-1, 3.9357e-1
2.2812e-1, 3.7113e-1
2.3483e-1, 3.4959e-1
2.4237e-1, 3.2877e-1
2.5075e-1, 3.0735e-1
2.5963e-1, 2.8511e-1
2.7123e-1, 2.5924e-1
2.8322e-1, 2.3339e-1
2.9516e-1, 2.1129e-1
3.0605e-1, 1.9117e-1
3.1779e-1, 1.7125e-1
3.3119e-1, 1.5200e-1
3.4711e-1, 1.3200e-1
3.6387e-1, 1.1322e-1
3.8482e-1, 9.2125e-2
4.0326e-1, 7.6276e-2
4.2169e-1, 6.3102e-2
4.4069e-1, 5.2653e-2
4.5857e-1, 4.3714e-2
4.7700e-1, 3.5263e-2
4.9544e-1, 2.9711e-2
5.1555e-1, 2.2337e-2
5.3398e-1, 1.8360e-2
5.5242e-1, 1.4549e-2
5.7085e-1, 1.0406e-2
5.8929e-1, 7.4729e-3
6.0772e-1, 4.9983e-3
6.2616e-1, 3.9433e-3
6.4460e-1, 3.4462e-3
6.6303e-1, 1.9548e-3
6.8147e-1, 4.6337e-4
9.4794e-1, 1.2919e-3
9.6638e-1, 9.6050e-4
